caseid,name_indicator,eventcode,EVENTCODEDATE,sex,age,pre_marriagestat,current_marriagestat,white,black,hispanic,schooling,left.b.a,evac.state,state.most.time,lives.NO.still,same.home,month.returned,year.returned,fulltime,partime,selfempfull,selfemppart,laidoff,unemployed,disabled,student,health.before,health.after,received.metal.care,life.quality,mobile,apartment,singlefam,duplex,own.rent,res.damage,income,stayed.first.month,q31,q32,q33,q34,q35,q36,q37
11050,1,400,8-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11054,1,492,22-Sep-06,1,45,1,1, ,2, ,5,3, , ,1,1, , ,1, , , , , , , ,1,1,2,2, , ,3, ,1,3,7,4,4,5,5,5,4,5,3
11057,1,491,23-Sep-06,1,53,1,1, ,2, ,4,1,MS,MS,3, , , ,1, , , , , , , ,1,1,2,3, , , ,4,1,2,3,5,2,1,1,3,1,3,10
11065,1,492,22-Sep-06,2,47,5,5,1, , ,3,1,MS,SC,1,1,10,2005,1, , , , , , , ,3,3,2,2, , ,3, ,1,3,4,5,3,4,4,4,4,5,7
11074,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11078,1,485,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11082,1,501,26-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11093,1,492,27-Sep-06,1,52,1,1, ,2, ,2,2,LA, ,1,1,10,2005,1, , , , , , , ,2,2,2,2, , ,3, ,1,3,2,-6,4,5,5,5,4,5,4
11098,1,492,25-Sep-06,1,41,1,1, ,2, ,3,2,GA,MS,1,1,3,2006,1, , , , , , , ,1,1,2,2, , , ,4,2,2,3,1,3,2,3,1,2,3,10
11102,1,492,9-Oct-06,2,82,3,3,1, , ,3,1,MS,GA,1,1,9,2006, , , , , , , , ,4,4,2,3, , ,3, ,1,3,2,-6,2,3,3,3,2,3,7
11108,1,491,13-Oct-06,2,42,1,1, ,2, ,5,1,TX,TX,1,1,12,2005,1, , , , , , , ,2,1,2,3, , ,3, ,1,3,4,1,3,5,5,5,3,5,8
11112,1,491,21-Sep-06,2,39,5,5, ,2, ,6,1,LA,LA,1,1,10,2005,1, , ,4, , , , ,1,4,2,3, , ,3, ,1,2,7,5,2,3,2,3,2,5,10
11115,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11120,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11123,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11131,1,492,31-Oct-06,2,47,2,2,1, , ,4,1,FL,LA,1,2,9,2005,1, , , , , , , ,1,1,2,3, , ,3, ,2,4,1, , , , , ,3,5,8
11135,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11138,1,491,24-Sep-06,1,43,5,5, ,2, ,4,1,TX,TX,1,1,9,2005,1, , , , , , , ,1,1,2,2, , ,3, ,1,3,7,1,5,5,5,5,1,5, 
11140,1,491,20-Sep-06,1,46,1,1,1, , ,5,1,MS,LA,1,1,9,2005,1, , , , , , , ,2,2,2,2, , ,3, ,1,3,7,4,5,5,5,5,4,5,4
11146,1,491,22-Sep-06,2,43,4,4, ,2, ,4,1,MS,MS,3, , , , , , , ,5, , , ,3,3,2,3, ,2, , ,2,2,2,2,3,2,3,2,3,3,4
11156,1,492,21-Sep-06,2,62,2,2,1, , ,6,2,TN,MS,1,1,10,2005, , , ,4, , , , ,2,4,1,3, , ,3, ,1,3,5,5,3,4,3,5,3,4,7
11161,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11165,1,491,20-Sep-06,1,71,3,3, ,2, ,3,2,LA,LA,1,2,10,2005, , , , , , , , ,3,4,2,3, ,2, , ,2,3,1,1,3,2,3,5,1,5,9
11172,1,491,3-Oct-06,1,74,3,3, ,2, ,2,1,TN,TN,1,1,9,2005, , , , , , , , ,3,3,1,2, , ,3, ,1,3, ,3,3, , , , , , 
11176,1,420,9-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11180,1,491,18-Oct-06,2,72,3,3,1, , ,5,1,TX,VA,2, , , , , , ,4, , , , ,4,4,2,2, , ,3, ,1,3, ,1,3,5,3,5,3,5,10
11193,1,420,9-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11197,1,492,26-Sep-06,2,60,5,5, ,2, ,3,1,TN,TX,1,1,10,2005, , , , , ,6, , ,4,3,2,2, ,2, , ,2,3,1,2,4,5,4,5,4,5,10
11208,1,492,21-Sep-06,1,52,1,1,1, , ,5,1,FL,LA,1,1,11,2005,1, , , , , , , ,1,1,2,3, , ,3, ,1,3,7,1,5,5,5,5,4,5,8
11211,1,400,8-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11213,1,491,19-Sep-06,1,44,1,1,1, , ,6,2,MS,LA,1,1,10,2005,1, , , , , , , ,3,3,2,3, , ,3, ,1,3,4,4,4,5,5,5,3,5,6
11227,1,420,3-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11233,1,491,19-Sep-06,2,46,1,1, ,2, ,4,2,TX,TX,1,1,9,2006,1, , , , , , , ,2,2,2,2, , ,3, ,1,3,7,1,5,5,4,4,5,5,2
11240,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11251,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11260,1,491,26-Sep-06,1,63,5,5,1, , ,6,3, , ,1,1, , , , , , , , , , ,3,3,1,1, , ,3, ,1,3, ,3,5,5,5,5,5,5,5
11271,1,481,9-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11278,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11292,1,491,25-Oct-06,1,34,5,5, ,2, ,4,1,LA,OK,1,1,10,2005, , ,3, , , , , ,2,3,1,2, , , ,4,2,3,6,5,3,5,1,4,3,5,5
11296,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11304,1,500,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11309,1,492,27-Sep-06,2,50,2,2,1, , ,6,1,LA,LA,1,1,10,2005, , ,3, , , , , ,2,4,1,3, , , ,4,2,3,3,4,3,3,3,4,4,4,7
11314,1,491,22-Sep-06,1,48,5,5, ,2, ,4,2,AL,MS,3, , , , , , , , ,6, , ,4,4,2,2, , , ,4,2,2,1,1,3,5,2,4,1,3,10
11320,1,491,18-Oct-06,1,45,1,1,1, , ,5, , , ,3, , , , , ,3, , , , , ,3,3,2,2, , , ,4,1,4,5,6,5,5,5,5,5,5,5
11334,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11339,1,493,3-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11360,1,491,6-Nov-06,2,48,5,5,1, , ,5,1,LA,LA,1,2,10,2005, ,2, , , , , , ,4,5,1,3, , , ,4,2,2,2,2,3,2,2,2,2,2,10
11368,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11379,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11387,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11403,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11410,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11416,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
