caseid,name_indicator,eventcode,EVENTCODEDATE,sex,age,pre_marriagestat,current_marriagestat,white,black,hispanic,schooling,left.b.a,evac.state,state.most.time,lives.NO.still,same.home,month.returned,year.returned,fulltime,partime,selfempfull,selfemppart,laidoff,unemployed,disabled,student,health.before,health.after,received.metal.care,life.quality,mobile,apartment,singlefam,duplex,own.rent,res.damage,income,stayed.first.month,q31,q32,q33,q34,q35,q36,q37
21663,1,491,18-Sep-06,1,85,1,1,1, , ,3,3, , ,1,1, , , , , , , , , , ,3,4,2,2, , ,3, ,1,4,7,3,5,5,5,3,2,5,0
21666,1,492,26-Sep-06,1,71,5,5,1, , ,4,1,TX,MS,1,1,9,2005, , ,3, , , , , ,3,3,2,3, , ,3, ,1,3,5,1,5,5,5,5,2,5,6
21668,1,492,27-Sep-06,2,55,4,4, ,2, ,3,2,TX,TX,1,1,1,2006, , , , , ,6, , ,3,3,2,2, , ,3, ,1,3,1,5,5,5,4,5,5,5,7
21669,1,492,22-Sep-06,2,57,4,4,1, , ,5, ,LA,LA,1,1,10,2005,1, , , , , , , ,3,3,1,2, , ,3, ,1,3,4,4,3,3,3,3,2,5,10
21674,1,491,5-Oct-06,2,73,1,3,1, , ,1,2,TX,LA,1,1,10,2005, , , , , , , , ,3,3,2,2, , ,3, ,1,3,1,4,5,5,5,5,5,5,9
21676,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21677,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21680,1,491,20-Sep-06,2,76,3,3, ,2, ,1,2,LA,LA,1,1,2,2006, , , , , , , , ,1,5,2,3, ,2, , ,2,3,2,4,2,2,2,2,3,2,10
21687,1,491,22-Sep-06,1,47,5,5,1, , ,6,1,LA,LA,2, , , , , ,3, , , , , ,2,4,2,3, , , ,4,2,2,7,4,5,3,4,4,2,4,9
21689,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21690,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21695,1,492,19-Oct-06,2, ,5,5, ,2, , ,1,LA, ,1,1,11,2005, , , , , , ,7, ,2, ,2,2, , ,3, ,2,3,1,2,3,3,3,3,3,3,9
21696,1,491,16-Oct-06,1,62,4,4, ,2, ,2,2,LA,LA,1,1,12,2005, , , , , , ,7, ,4,4,2,2, ,2, , ,2,3,1,6,5,5,5,5,-4,5,0
21697,1,491,10-Oct-06,1,66,1,1, ,2, ,1,1,MS,TX,1,1,10,2005, , , , , , , , ,5,5,2,2, , ,3, ,2,3,2,3,5,5,5,5,5,5,6
21701,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21709,1,491,28-Sep-06,1,80,3,3,1, , ,6,1,LA,TX,1,1,10,2005, , , , , , , , ,3,3,2,2, ,2, , ,2,4,7,5,4,5,4,5,3,2,8
21712,1,500,2-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21713,1,491,1-Oct-06,1,37,2,2,1, , ,6,1,LA,LA,1,1,9,2005,1, , , , , , , ,1,1,2,3, , ,3, ,1,2,7,6,3,5,5,5,3,5,10
21715,1,161,27-Sep-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21718,1,481,27-Sep-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21720,1,492,19-Oct-06,1,46,1,1,1, , ,6,1,LA,LA,1,1,12,2005,1, , , , , , , ,1,1,1,2, , ,3, ,1,3,7,1,3,5,3,5,4,5,7
21721,1,492,19-Oct-06,1,56,1,1,1, , ,5,1,AL,MO,1,1,11,2005,1, , , , , , , ,2,3,1,3, , ,3, ,1,3,7,1,3,3,2,3,2,3,6
21722,1,491,22-Sep-06,1,49,1,1,1, , ,6,1,TX,TX,3, , , , , , , , , , ,9,1,2,2,2, , , ,4,2,3,6,5,3,5,5,5,4,5,8
21727,1,481,3-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21728,1,400,8-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21729,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21730,1,161,27-Sep-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21735,1,500,2-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21737,1,491,13-Oct-06,2,72,3,3, ,2, ,-4,1,MS,MS,1,2,3,2006, , , , , , ,7, ,5,5,1,-4, , ,3, ,1,2,-4, ,2,2,2,1,3,2,8
21738,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21739,1,400,8-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21744,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21745,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21749,1,491,21-Sep-06,1,60,1,1,1, , ,6,1,NC,NC,1,1,10,2005,1, , , , , , , ,1,1,2,3, , ,3, ,1,3,7,6,4,5,5,5,5,5,8
21750,1,491,13-Oct-06,2,74,5,5,1, , ,4,1,LA,LA,1,1,11,2005, , , , , , , , ,2,2,2,2, , ,3, ,1,4,7,4,4,5,3,5,4,5,8
30752,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30754,1,486,12-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30758,0,486,13-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30762,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30764,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30766,0,491,18-Sep-06,1,69,1,1, ,2, ,2,1,LA,LA,3, , , , , , , , , , , ,4,3,1,1, , ,3, ,1,1,3,4,5,5,5,5,1,5,5
30767,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30770,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30773,0,486,12-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30775,1,481,18-Sep-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30780,0,491,18-Sep-06,1,73,1,3, ,2, ,1,1,TX,TX,2, , , , , , , , , , , ,3,4,1,2, , ,3, ,1,2,4,6,3,4,3,3,4,4,10
30784,0,420,5-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30786,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30788,0,491,18-Oct-06,2,38,5,5, ,2, ,5,1,GA,GA,3, , , , , ,3, , , , , ,2,2,2,1, , , ,4,2,2,4,1,4,5,4,5,4,5,10
30794,0,491,3-Oct-06,2,59,5,5, ,2, ,4,1,LA,LA,3, , , , , , , , , , , ,1,3,1,3, , ,3, ,1,3,4,4,3,4,3,5,4,4,5
30798,0,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30800,0,491,13-Oct-06,2,70,3,3, ,2, ,3,2,LA,MA,3, , , , , , , , , ,7, ,5,5,2,2, ,2, , ,2,2,1,-6,1,5,5,5,1,5,10
30804,0,491,9-Oct-06,1,78,1,1, , , ,6,1,TX,TX,1,2,10,2005,1, , , , , , , ,1,3,2,1, , ,3, ,1,2,7,5,5,5,5,5, , ,0
30806,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30811,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30812,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30814,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30816,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30818,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30824,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30827,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30832,0,485,5-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30833,0,491,10-Oct-06,2,58,3,3, ,2, ,3,1,LA,LA,1,1,10,2005, , , , , , ,7, ,4,4,2,3, , ,3, ,1,2,2,4,1,3,1,2,3,4,10
30837,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30839,0,491,11-Oct-06,2,52,1,1, ,2, ,3,1,LA,TX,3, , , , , , , , , , , ,3,3,2,2, , , ,4,2,1,3,1,4,5,4,3,3,5,8
30842,0,491,21-Sep-06,2,29,5,5, ,2, ,4,1,LA,LA,3, , , , , , , , ,6, , ,3,3,1,3, , , ,4,2,2,2,4,2,1,2,3,1,3,10
30845,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30847,0,491,18-Sep-06,2,65,1,1, ,2, ,6,1,MS,MS,1,1,5,2006,1, , , , , , , ,3,3,2,2, , ,3, ,1,2,7,5,5,5,3,5,5,5,9
30852,0,491,18-Sep-06,1,64,3,3, ,2, ,2,3,LA, ,1,2, , , , , , , , ,7, ,3,3,2,3, , , ,4,2,2,1,-6,2,3,3,4,3,5,6
30855,0,491,25-Oct-06,2,41,5,5, ,2, ,2,1,TX,TX,1,2,9,2005, , , ,4, , , , ,1,1,2,3, , ,3, ,2,2,1,1,1,4,1,1,1,1,10
30857,0,491,20-Sep-06,2,73,3,3,1, , ,4,1,MS,MS,3, , , , , , , , , , , ,2,2,2,2, , ,3, ,1,2,2,5,4,5,4,5,5,5,8
30859,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30861,0,491,19-Sep-06,2,54,5,5, ,2, ,3,1,TX,NC,3, ,-3, ,1, , , , , , , ,3,4,2,3, , ,3, ,1,1,4,5,3,4,5,5,5,5,7
30863,0,491,20-Sep-06,2,45,1,1, ,2, ,5,2,LA, ,1,2,10,2005,1, , , , , , , ,2,4,2,3, , ,3, ,1,2,5,5,3,4,4,5,3,5,10
30865,0,491,11-Oct-06,2,49,2,2, ,2, ,4,1,MS,MS,1,1,11,2005,1, , , , , , , ,2,2,2,2, , ,3, ,1,2,1,1,5,5,5,5,3,5,10
30868,0,491,5-Oct-06,2,71,3,3, ,2, ,2,3, , ,3, , , , , , , , , ,7, ,3,4,1,2, ,2, , ,2,1,1,1,3,3,3,3,3,3,10
30870,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30876,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30881,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30883,0,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30889,1,410,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30891,0,492,19-Oct-06,1,38,1,1,1, , ,6,-6,TX,LA,3, , , ,1, , , , , , , ,1,2,1,2, , ,3, ,1,2,7,4,3,3,4,4,3,5,7
30893,0,492,9-Oct-06,2,81,3,3,1, , ,4, ,LA,LA,1,2,3,2006, , , , , , , , ,1,3,2,3, , ,3, ,1,1,7,6,2,3,3,3,3,5,10
30894,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30897,0,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30904,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30906,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30908,0,410,2-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30911,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30913,0,492,6-Oct-06,2,83,3,3,1, , ,3,1,GA,GA,2, , , , , , , , , , , ,2,3,2,3, , ,3, ,1,2,3,5,5,4,4,4,4,5,5
30914,0,491,10-Oct-06,2,60,2,2, ,2, ,3,2,LA,LA,3, , , ,1, , , , , , , ,3,3,2,3, , ,3, ,1,2,2,4,3,2,3,2,2,5,10
30918,0,491,18-Oct-06,1,33,5,5,1, , ,6,1,LA,OKLAHOMA,3, , , ,1, , , , , , , ,1,1,2,1, ,2, , ,2,2,7,1,5,5,5,5,5,5,3
30920,0,491,22-Sep-06,2,41,1,1,1, , ,5,1,LA,LA,2, , , ,1, , , , , , , ,1,2,1,2, , ,3, ,1,1,7,4,3,3,3,4,4,5,10
30922,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30924,0,410,2-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30926,0,500,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30929,0,400,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30930,0,493,4-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30932,0,500,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30935,0,491,19-Sep-06,2,53,1,1, ,2, ,6,1,TX,TX,3, , , ,1, , , , , , , ,3,4,2,3, , ,3, ,1,1,5,1,2,2,2,3,1,5,10
30937,0,491,23-Sep-06,2,57,1,1, ,2, ,4,1,TX,TX,1,2,10,2005,1, , , , , , , ,3,3,2,2, , , ,4,2,1,4,6,5,5,5,5,5,5,8
30939,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30944,0,491,21-Sep-06,1,52,1,1,1, , ,6,2,LA,LA,1,2,11,2005,1, , , , , , , ,3,4,2,3, , ,3, ,1,2,-7,4,4,4,3,4,4,5,10
30947,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30948,0,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31751,1,485,12-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31755,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31756,1,410,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31760,1,491,20-Sep-06,2,78,1,3, ,2, ,4,1,LA,GA,1,1,7,2006, ,2, , , , , , ,3,3,2,2, , ,3, ,1,2,2,5,5,5,5,5,5,5,0
31761,1,491,13-Oct-06,2,55,1,1, ,2, ,3,1,TX,TX,3,2,-4,-4, , , , , , , , ,2,4,2,3, , ,3, ,1,1,-4,1,3,4,1,3,3,5,10
31769,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31772,1,491,20-Sep-06,1,28,5,1, ,2, ,3,1,LA,LA,3, , , ,1, , , , , , , ,1,3,2,2, ,2, , ,2,1,4,1,3,3,5,5,3,5,8
31777,1,491,13-Oct-06,1,28,5,5, ,2, ,5,1,LA,LA,1,2,10,2005,1, , , , , , , ,1,1,2,1, , ,3, ,1,1,3,4,5,5,5,5,5,5,3
31778,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31779,1,480,3-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31781,1,491,28-Sep-06,2,50,1,1, ,2, ,4,1,TN,TN,1,2,4,2006,1, , , , , , , ,2,5,1,3, , ,3, ,1,2,4,5,2,3,2,4,3,4,10
31783,1,491,28-Sep-06,1,48,1,1, ,2, ,5,1,LA,TX,1,2,10,2005,1, , , , , , , ,3,3,2,3, , ,3, ,1,2, ,4,3,4,5,5,3,5,6
31787,1,491,13-Oct-06,2,52,2,2, ,2, ,2,2,TX,TX,1,1,4,2006, , , , , , , , ,3,3,2,3, ,2, , ,2,1,-4,1,4,1,5,5,5,5,10
31789,1,491,25-Oct-06,1,48,1,1, ,2, ,4,1,TX,TX,3, , , ,1, , , , , , , ,3,3,2,3, , ,3, ,1,2,3,5,5,5,1,2,2,5,10
31790,1,491,19-Sep-06,1,53,1,1, ,2, ,2,1,GA,TX,2,2,11,2005, , , , , , ,7, ,5,5,2,3, , ,3, ,1,2,7,5,2,2,1,3,3,3,10
31792,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31793,1,491,28-Sep-06,1,39,1,1,1, , ,3,1,TX,TX,1,1,1,2006,1, , , , , , , ,1,1,2,3, , ,3, ,1,2,7,1,3,5,3,3,3,3,8
31796,1,491,11-Oct-06,2,23,5,5, ,2, ,3,1,TX,TX,1,2,11,2005,1, , , , , , , ,1,2,2,1, , , ,4,2,2,2,6,3,3,3,4,3,5,10
31797,1,490,11-Oct-06,2,53,3,3, ,2, ,3,1,TX,TX,1,1,2,2006,1, , , , , , , ,4,4,1,1, , , ,4,1,2,2,5,1,3,3,4,3,3,10
31801,1,485,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31802,1,491,13-Oct-06,1,34,1,4, ,2, ,3,1,TX,TX,1,2,3,2006,1, , , , , , , ,1,1,2,2, , ,3, ,1,3,5,1,5,5,5,5,5,5,7
31808,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31809,1,410,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31810,1,491,18-Oct-06,2,68,1,1, ,2, ,3,1,TX,TX,3, , , , , , , , , , , ,3,4,2,3, , ,3, ,1,1,3,5,3,3,2,3,3,4,10
31819,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31821,1,485,5-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31822,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31823,1,491,23-Sep-06,1,52,1,1, ,2, ,5,1,LA,TN,3, , , ,1, , , , , , , ,1,3,2,3, , ,3, ,1,2,7,5,2,5,2,4,4,5,8
31825,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31828,1,491,25-Sep-06,1,70,1,1, ,2, ,6,2,LA,GA,2, , , , , , , , , , , ,3,3,1,3, , ,3, ,2,1,6,1,1,1,1,1,1,1,10
31829,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31830,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31834,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31836,1,491,21-Sep-06,1,73,3,3, ,2, ,2,2,LA,LA,3, , , , , , , , , , , ,4,5,2,3, , ,3, ,1,1, ,4,3,5,3,5,3,5,9
31840,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31843,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31848,1,491,20-Sep-06,2,60,2,2,1, , ,4,1,MS,LA,3, , , ,1, , , , , , , ,2,3,2,3, , ,3, ,1,2,2,4,3,4,3,5,3,5,9
31850,1,400,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31851,1,492,26-Sep-06,1,79,1,1,1, , ,5,1,LA,LA,1,1,5,2006, , , , , , , , ,5,5,2,2, , ,3, ,1,3,3,4,3,4,3,4,1,5,10
31853,1,410,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31854,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31866,1,491,22-Sep-06,2,65,2,2, ,2, ,3,1,LA,TX,2, , , , ,2, , , , , , ,4,4,2,1, , ,3, ,1,1,1,2,3,3,2,3,3,3,10
31869,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31872,1,500,25-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31873,1,410,31-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31874,1,410,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31875,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31878,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31879,1,410,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31880,1,500,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31884,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31885,1,485,11-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31886,1,491,18-Oct-06,2,80, , , ,2, , , , , , , , , , , , , , , , , , , , , , , ,3, ,1,1,4,5,3,5,5,5,3,3,10
31887,1,491,27-Sep-06,1,84,3,3,1, , ,5,1,LA,LA,2, , , , , , , , , , , ,4,4,2,3, , ,3, ,1,1,3,6,4,5,3,4,4,4,8
31896,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31898,1,485,17-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31899,1,493,28-Sep-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31900,1,491,26-Sep-06,2,35,5,5, ,2, ,4,1,TX,TX,2,2,10,2005,1, , , , , , , ,3,3,2,3, , ,3, ,2,2,7,2,3,1,1,2,3,1,10
31901,1,500,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31903,1,485,9-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31909,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31916,1,501,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31917,1,500,6-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31928,1,493,4-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31933,1,491,13-Oct-06,2,27,5,5,1, , ,6,1,TX,OH,3, , , , ,2, , , , , , ,2,2, , , , , ,4,2,3,5,5,4,5,3,5,5,5,5
31940,1,500,2-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31942,1,491,1-Nov-06,1,31,1,1,1, , ,6,1,AR,CA,1,1,1,2006,1, , , , , , , ,2,2,2,2, , ,3, ,1,1, ,1,5,5,5,3,5,5,8
31943,1,492,26-Sep-06,1,37,1,1,1, , ,5,2,FL,LA,1,1,12,2005,1, , , , , , , ,1,1,2,2, , ,3, ,1,2,6,6,4,5,5,5,5,5,9
31946,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31950,1,491,6-Oct-06,1,57,1,1,1, , ,6,1,LA,LA,1,1,10,2005,1, , , , , , , ,1,1,2,3, , ,3, ,1,3,7,4,3,3,3,3,3,5,10
